ADJUSTED G VALUE,,,,,,787-8 RAW DATA FROM PIANO X (< 3000 ROC),,,,787-9 NO PREADJUSTED FUEL BURNT & ROC (< 3000 ROC),,,,,9.80665
Altitude (feet) ,Altitude (m)*,Adjusted G*,RANGE (NM),PAYLOAD (KG),MASS INIT (KG) ,Fuel Burnt (kg) ,Altitude (feet) ,ROC (feet/min) ,,Fuel Burnt (kg) ,Weight (N)**,Altitude (feet) ,ROC (feet/min),,63710088
35440,10802.11165,9.80332539,,,,3500.1,35440,1243,,3500.1,1891589.867,35440,1243,,
35672,10872.82525,9.803303632,,,,3524.2,35672,1207,,3524.2,1891349.409,35672,1207,,
35905,10943.84365,9.80328178,,,,3548.8,35905,1171,,3548.8,1891104.032,35905,1171,,
36138,11014.86205,9.803259928,,,,3575.1,36138,1028,,3575.1,1890841.991,36138,1028,,
36371,11085.88045,9.803238076,,,,3603.3,36371,995,,3603.3,1890561.325,36371,995,,
36603,11156.59404,9.803216318,,,,3632.2,36603,961,,3632.2,1890273.816,36603,961,,
36836,11227.61244,9.803194467,,,,3661.7,36836,926,,3661.7,1889980.409,36836,926,,
37069,11298.63084,9.803172615,,,,3692.1,37069,891,,3692.1,1889678.179,37069,891,,
37302,11369.64924,9.803150764,,,,3723.2,37302,855,,3723.2,1889369.089,37302,855,,
37534,11440.36283,9.803129006,,,,3755.4,37534,819,,3755.4,1889049.235,37534,819,,
37767,11511.38123,9.803107155,,,,3788.6,37767,781,,3788.6,1888719.561,37767,781,,
38000,11582.39963,9.803085303,,,,3823,38000,743,,3823,1888378.125,38000,743,,
38000,11582.39963,9.803085303,,,,14544.6,38000,887,,14544.6,1783273.366,38000,887,,
38105,11614.40363,9.803075456,,,,14558.2,38105,869,,14558.2,1783138.253,38105,869,,
38211,11646.71243,9.803065515,,,,14571.9,38211,852,,14571.9,1783002.142,38211,852,,
38316,11678.71643,9.803055668,,,,14585.8,38316,834,,14585.8,1782864.089,38316,834,,
38421,11710.72043,9.803045821,,,,14600,38421,816,,14600,1782723.095,38421,816,,
38526,11742.72442,9.803035974,,,,14614.3,38526,798,,14614.3,1782581.121,38526,798,,
38632,11775.03322,9.803026033,,,,14628.9,38632,779,,14628.9,1782436.189,38632,779,,
38737,11807.03722,9.803016186,,,,14643.8,38737,761,,14643.8,1782288.333,38737,761,,
38842,11839.04122,9.803006339,,,,14659,38842,742,,14659,1782137.537,38842,742,,
38947,11871.04522,9.802996492,,,,14674.4,38947,723,,14674.4,1781984.781,38947,723,,
39053,11903.35402,9.802986551,,,,14690.1,39053,706,,14690.1,1781829.067,39053,706,,
39158,11935.35802,9.802976704,,,,14706.1,39158,692,,14706.1,1781670.43,39158,692,,
39263,11967.36202,9.802966857,,,,14722.4,39263,677,,14722.4,1781508.852,39263,677,,
39368,11999.36602,9.80295701,,,,14739,39368,662,,14739,1781344.333,39368,662,,
39474,12031.67481,9.80294707,,,,14755.9,39474,646,,14755.9,1781176.857,39474,646,,
39579,12063.67881,9.802937223,,,,14773.1,39579,631,,14773.1,1781006.457,39579,631,,
39684,12095.68281,9.802927376,,,,14790.7,39684,615,,14790.7,1780832.137,39684,615,,
39789,12127.68681,9.802917529,,,,14808.7,39789,599,,14808.7,1780653.895,39789,599,,
39895,12159.99561,9.802907588,,,,14827.1,39895,583,,14827.1,1780471.716,39895,583,,
40000,12191.99961,9.802897741,,,,14845.8,40000,567,,14845.8,1780286.614,40000,567,,
40000,12191.99961,9.802897741,,,,36713.2,40000,948,,36713.2,1565922.728,40000,948,,
40158,12240.15801,9.802882924,,,,36730.4,40158,926,,36730.4,1565751.751,40158,926,,
40316,12288.31641,9.802868107,,,,36747.9,40316,905,,36747.9,1565577.834,40316,905,,
40474,12336.47481,9.80285329,,,,36765.7,40474,883,,36765.7,1565400.977,40474,883,,
40632,12384.6332,9.802838473,,,,36783.8,40632,861,,36783.8,1565221.18,40632,861,,
40789,12432.4868,9.80282375,,,,36802.2,40789,838,,36802.2,1565038.457,40789,838,,
40947,12480.6452,9.802808933,,,,36821,40947,816,,36821,1564851.798,40947,816,,
41105,12528.8036,9.802794116,,,,36840.3,41105,792,,36840.3,1564660.239,41105,792,,
41263,12576.962,9.802779299,,,,36859.9,41263,769,,36859.9,1564465.74,41263,769,,
41421,12625.1204,9.802764482,,,,36880,41421,745,,36880,1564266.339,41421,745,,
41579,12673.27879,9.802749665,,,,36900.7,41579,721,,36900.7,1564061.058,41579,721,,
41737,12721.43719,9.802734848,,,,36921.8,41737,696,,36921.8,1563851.856,41737,696,,
41895,12769.59559,9.802720032,,,,36943.6,41895,671,,36943.6,1563635.793,41895,671,,
42053,12817.75399,9.802705215,,,,36966,42053,646,,36966,1563413.849,42053,646,,
42211,12865.91239,9.802690398,,,,36989.2,42211,620,,36989.2,1563184.064,42211,620,,
42368,12913.76599,9.802675675,,,,37013.2,42368,594,,37013.2,1562946.452,42368,594,,
42526,12961.92439,9.802660859,,,,37038.1,42526,567,,37038.1,1562700.003,42526,567,,
42684,13010.08278,9.802646042,,,,37064,42684,540,,37064,1562443.753,42684,540,,
42842,13058.24118,9.802631225,,,,37091,42842,512,,37091,1562176.72,42842,512,,
43000,13106.39958,9.802616409,,,,37119.3,43000,484,,37119.3,1561896.945,43000,484,,
26067,7945.221346,9.804204502,500,0,130228,1489.1,26067,2941,,1489.1,1262182.503,26067,2941,,
27405,8353.043733,9.804079002,,,,1566.7,27405,2768,,1566.7,1261405.55,27405,2768,,
28744,8761.17092,9.803953409,,,,1646.4,28744,2599,,1646.4,1260608.016,28744,2599,,
30083,9169.298107,9.803827819,,,,1728.5,30083,2429,,1728.5,1259786.973,30083,2429,,
31422,9577.425294,9.803702232,,,,1813.6,31422,2232,,1813.6,1258936.54,31422,2232,,
32761,9985.55248,9.803576647,,,,1902.3,32761,2050,,1902.3,1258050.836,32761,2050,,
34100,10393.67967,9.803451064,,,,1994.8,34100,1895,,1994.8,1257127.901,34100,1895,,
35439,10801.80685,9.803325484,,,,2092,35439,1739,,2092,1256158.914,35439,1739,,
35439,10801.80685,9.803325484,,,,2092,35439,2569,,2092,1256158.914,35439,2569,,
35837,10923.11725,9.803288157,,,,2112.2,35837,2492,,2112.2,1255956.105,35837,2492,,
36235,11044.42765,9.803250831,,,,2133.6,36235,2183,,2133.6,1255741.533,36235,2183,,
36633,11165.73804,9.803213505,,,,2156.4,36633,2114,,2156.4,1255513.239,36633,2114,,
37031,11287.04844,9.803176179,,,,2179.5,37031,2044,,2179.5,1255282.005,37031,2044,,
37429,11408.35883,9.803138853,,,,2202.8,37429,1973,,2202.8,1255048.812,37429,1973,,
37826,11529.36443,9.803101621,,,,2226.6,37826,1902,,2226.6,1254810.732,37826,1902,,
38224,11650.67483,9.803064296,,,,2250.7,38224,1829,,2250.7,1254569.7,38224,1829,,
38622,11771.98522,9.803026971,,,,2275.2,38622,1755,,2275.2,1254324.749,38622,1755,,
39020,11893.29562,9.802989646,,,,2300.2,39020,1682,,2300.2,1254074.899,39020,1682,,
39418,12014.60602,9.802952321,,,,2325.7,39418,1630,,2325.7,1253820.149,39418,1630,,
39816,12135.91641,9.802914997,,,,2351.5,39816,1577,,2351.5,1253562.46,39816,1577,,
40214,12257.22681,9.802877673,,,,2377.8,40214,1523,,2377.8,1253299.871,40214,1523,,
40612,12378.5372,9.802840349,,,,2404.5,40612,1468,,2404.5,1253033.363,40612,1468,,
41010,12499.8476,9.802803025,,,,2431.8,41010,1412,,2431.8,1252760.976,41010,1412,,
41408,12621.158,9.802765701,,,,2459.8,41408,1356,,2459.8,1252481.729,41408,1356,,
41806,12742.46839,9.802728378,,,,2488.3,41806,1298,,2488.3,1252197.582,41806,1298,,
42204,12863.77879,9.802691055,,,,2517.7,42204,1239,,2517.7,1251904.615,42204,1239,,
42602,12985.08918,9.802653732,,,,2547.8,42602,1179,,2547.8,1251604.789,42602,1179,,
43000,13106.39958,9.802616409,,,,2579,43000,1117,,2579,1251294.182,43000,1117,,
20542,6261.2014,9.804722759,3500,0,156045,1449.7,20542,2917,,1449.7,1515764.056,20542,2917,,
21860,6662.927787,9.804599124,,,,1537,21860,2780,,1537,1514889.001,21860,2780,,
23178,7064.654174,9.804475491,,,,1626.1,23178,2644,,1626.1,1513996.32,23178,2644,,
24495,7466.075761,9.804351955,,,,1717.2,24495,2508,,1717.2,1513084.068,24495,2508,,
25813,7867.802148,9.804228327,,,,1810.5,25813,2365,,1810.5,1512150.254,25813,2365,,
27131,8269.528535,9.804104702,,,,1906.4,27131,2222,,1906.4,1511190.973,27131,2222,,
28449,8671.254923,9.803981079,,,,2005.2,28449,2080,,2005.2,1510203.285,28449,2080,,
29766,9072.67651,9.803857552,,,,2107.4,29766,1940,,2107.4,1509182.302,29766,1940,,
31084,9474.402897,9.803733933,,,,2213.6,31084,1781,,2213.6,1508122.116,31084,1781,,
32402,9876.129284,9.803610317,,,,2324.8,32402,1627,,2324.8,1507012.939,32402,1627,,
33720,10277.85567,9.803486704,,,,2441.7,33720,1494,,2441.7,1505847.909,33720,1494,,
35037,10679.27726,9.803363186,,,,2565.1,35037,1371,,2565.1,1504619.201,35037,1371,,
35037,10679.27726,9.803363186,,,,2565.1,35037,2024,,2565.1,1504619.201,35037,2024,,
35456,10806.98845,9.80332389,,,,2592.7,35456,1952,,2592.7,1504342.599,35456,1952,,
35875,10934.69965,9.803284594,,,,2620.6,35875,1880,,2620.6,1504063.057,35875,1880,,
36295,11062.71565,9.803245204,,,,2650.6,36295,1635,,2650.6,1503762.916,36295,1635,,
36714,11190.42684,9.803205908,,,,2682.6,36714,1569,,2682.6,1503443.186,36714,1569,,
37133,11318.13804,9.803166613,,,,2715.3,37133,1503,,2715.3,1503116.596,37133,1503,,
37552,11445.84923,9.803127318,,,,2748.7,37552,1436,,2748.7,1502783.146,37552,1436,,
37971,11573.56043,9.803088023,,,,2782.9,37971,1367,,2782.9,1502441.857,37971,1367,,
38390,11701.27163,9.803048728,,,,2818.1,38390,1298,,2818.1,1502090.767,38390,1298,,
38809,11828.98282,9.803009434,,,,2854.4,38809,1227,,2854.4,1501728.897,38809,1227,,
39228,11956.69402,9.80297014,,,,2891.8,39228,1166,,2891.8,1501356.246,39228,1166,,
39647,12084.40521,9.802930846,,,,2930.3,39647,1113,,2930.3,1500972.816,39647,1113,,
40066,12212.11641,9.802891552,,,,2970.1,40066,1059,,2970.1,1500576.644,40066,1059,,
40485,12339.82761,9.802852259,,,,3011.2,40485,1003,,3011.2,1500167.732,40485,1003,,
40905,12467.8436,9.802812872,,,,3053.9,40905,946,,3053.9,1499743.124,40905,946,,
41324,12595.5548,9.802773579,,,,3098.5,41324,886,,3098.5,1499299.909,41324,886,,
41743,12723.26599,9.802734286,,,,3145.3,41743,824,,3145.3,1498835.131,41743,824,,
42162,12850.97719,9.802694993,,,,3194.9,42162,760,,3194.9,1498342.91,42162,760,,
42581,12978.68838,9.802655701,,,,3247.8,42581,694,,3247.8,1497818.344,42581,694,,
43000,13106.39958,9.802616409,NEW DATA SET STARTS HERE,,,3305,43000,625,,3305,1497251.63,43000,625,,
17782,5419.953427,9.804981668,3500,10000,168155,1385.7,17782,2929,,1385.7,1635169.929,17782,2929,,
19079,5815.279014,9.804859998,,,,1476.8,19079,2799,,1476.8,1634256.416,19079,2799,,
20376,6210.604601,9.80473833,,,,1569.5,20376,2668,,1569.5,1633327.237,20376,2668,,
21673,6605.930189,9.804616665,,,,1663.9,21673,2543,,1663.9,1632381.414,21673,2543,,
22969,7000.950976,9.804495096,,,,1760.4,22969,2417,,1760.4,1631415.04,22969,2417,,
24266,7396.276563,9.804373435,,,,1859,24266,2292,,1859,1630428.085,24266,2292,,
25563,7791.602151,9.804251777,,,,1960.2,25563,2163,,1960.2,1629415.663,25563,2163,,
26860,8186.927738,9.804130121,,,,2064.3,26860,2030,,2064.3,1628374.835,26860,2030,,
28157,8582.253325,9.804008467,,,,2171.7,28157,1900,,2171.7,1627301.679,28157,1900,,
29454,8977.578913,9.803886815,,,,2282.8,29454,1771,,2282.8,1626192.275,29454,1771,,
30751,9372.9045,9.803765166,,,,2398.5,30751,1629,,2398.5,1625037.801,30751,1629,,
32048,9768.230087,9.803643519,,,,2519.9,32048,1485,,2519.9,1623827.475,32048,1485,,
33345,10163.55567,9.803521874,,,,2647.7,33345,1358,,2647.7,1622554.436,33345,1358,,
34642,10558.88126,9.803400232,,,,2783.2,34642,1241,,2783.2,1621205.942,34642,1241,,
34642,10558.88126,9.803400232,,,,2783.2,34642,1828,,2783.2,1621205.942,34642,1828,,
34924,10644.83486,9.803373784,,,,2803.9,34924,1797,,2803.9,1620998.639,34924,1797,,
35206,10730.78846,9.803347336,,,,2824.7,35206,1756,,2824.7,1620790.356,35206,1756,,
35488,10816.74205,9.803320888,,,,2845.8,35488,1710,,2845.8,1620579.133,35488,1710,,
35770,10902.69565,9.803294441,,,,2867.1,35770,1664,,2867.1,1620365.951,35770,1664,,
36052,10988.64925,9.803267994,,,,2888.8,36052,1617,,2888.8,1620148.849,36052,1617,,
36334,11074.60285,9.803241546,,,,2911.8,36334,1422,,2911.8,1619919.003,36334,1422,,
36616,11160.55644,9.803215099,,,,2936.4,36616,1380,,2936.4,1619673.474,36616,1380,,
36898,11246.51004,9.803188652,,,,2961.4,36898,1337,,2961.4,1619424.025,36898,1337,,
37180,11332.46364,9.803162205,,,,2986.8,37180,1294,,2986.8,1619170.656,37180,1294,,
37462,11418.41723,9.803135758,,,,3012.7,37462,1251,,3012.7,1618912.386,37462,1251,,
37744,11504.37083,9.803109312,,,,3039.2,37744,1207,,3039.2,1618648.236,37744,1207,,
38026,11590.32443,9.803082865,,,,3066.2,38026,1162,,3066.2,1618379.186,38026,1162,,
38308,11676.27803,9.803056418,,,,3093.8,38308,1116,,3093.8,1618104.256,38308,1116,,
38590,11762.23162,9.803029972,,,,3122.2,38590,1070,,3122.2,1617821.485,38590,1070,,
38872,11848.18522,9.803003526,,,,3151.3,38872,1023,,3151.3,1617531.853,38872,1023,,
39154,11934.13882,9.802977079,,,,3181.2,39154,983,,3181.2,1617234.38,39154,983,,
39436,12020.09242,9.802950633,,,,3212,39436,947,,3212,1616928.086,39436,947,,
39718,12106.04601,9.802924187,,,,3243.5,39718,911,,3243.5,1616614.932,39718,911,,
40000,12191.99961,9.802897741,,,,3276,40000,873,,3276,1616291.977,40000,873,,
40000,12191.99961,9.802897741,,,,8462.7,40000,949,,8462.7,1565447.287,40000,949,,
40158,12240.15801,9.802882924,,,,8479.9,40158,927,,8479.9,1565276.311,40158,927,,
40316,12288.31641,9.802868107,,,,8497.3,40316,906,,8497.3,1565103.375,40316,906,,
40474,12336.47481,9.80285329,,,,8515.1,40474,884,,8515.1,1564926.519,40474,884,,
40632,12384.6332,9.802838473,,,,8533.2,40632,862,,8533.2,1564746.722,40632,862,,
40789,12432.4868,9.80282375,,,,8551.6,40789,839,,8551.6,1564564,40789,839,,
40947,12480.6452,9.802808933,,,,8570.4,40947,817,,8570.4,1564377.342,40947,817,,
41105,12528.8036,9.802794116,,,,8589.6,41105,793,,8589.6,1564186.764,41105,793,,
41263,12576.962,9.802779299,,,,8609.3,41263,770,,8609.3,1563991.285,41263,770,,
41421,12625.1204,9.802764482,,,,8629.3,41421,746,,8629.3,1563792.866,41421,746,,
41579,12673.27879,9.802749665,,,,8649.9,41579,722,,8649.9,1563588.566,41579,722,,
41737,12721.43719,9.802734848,,,,8671.1,41737,697,,8671.1,1563378.384,41737,697,,
41895,12769.59559,9.802720032,,,,8692.8,41895,672,,8692.8,1563163.302,41895,672,,
42053,12817.75399,9.802705215,,,,8715.3,42053,647,,8715.3,1562940.379,42053,647,,
42211,12865.91239,9.802690398,,,,8738.4,42211,621,,8738.4,1562711.574,42211,621,,
42368,12913.76599,9.802675675,,,,8762.3,42368,595,,8762.3,1562474.943,42368,595,,
42526,12961.92439,9.802660859,,,,8787.2,42526,568,,8787.2,1562228.495,42526,568,,
42684,13010.08278,9.802646042,,,,8813,42684,541,,8813,1561973.226,42684,541,,
42842,13058.24118,9.802631225,,,,8840,42842,513,,8840,1561706.194,42842,513,,
43000,13106.39958,9.802616409,,,,8868.2,43000,485,,8868.2,1561427.399,43000,485,,
16427,5006.94944,9.805108781,3500,15000,174261,1347.7,16427,2936,,1347.7,1695433.716,16427,2936,,
17713,5398.922227,9.80498814,,,,1440.6,17713,2806,,1440.6,1694501.972,17713,2806,,
18998,5790.590215,9.804867596,,,,1535,18998,2681,,1535,1693555.56,18998,2681,,
20284,6182.563002,9.80474696,,,,1631.2,20284,2555,,1631.2,1692591.507,20284,2555,,
21569,6574.23099,9.804626421,,,,1729.3,21569,2434,,1729.3,1691608.864,21569,2434,,
22854,6965.898977,9.804505883,,,,1829.4,22854,2314,,1829.4,1690606.637,22854,2314,,
24140,7357.871765,9.804385254,,,,1931.9,24140,2193,,1931.9,1689580.887,24140,2193,,
25425,7749.539752,9.804264721,,,,2037,25425,2071,,2037,1688529.687,25425,2071,,
26711,8141.512539,9.804144097,,,,2145.3,26711,1943,,2145.3,1687447.124,26711,1943,,
27996,8533.180527,9.804023568,,,,2257,27996,1818,,2257,1686331.27,27996,1818,,
29282,8925.153314,9.803902948,,,,2372.8,29282,1694,,2372.8,1685175.231,29282,1694,,
30567,9316.821302,9.803782424,,,,2493.4,30567,1561,,2493.4,1683972.178,30567,1561,,
31852,9708.489289,9.803661902,,,,2619.9,31852,1421,,2619.9,1682711.313,31852,1421,,
33138,10100.46208,9.803541288,,,,2753.4,33138,1298,,2753.4,1681381.838,33138,1298,,
34423,10492.13006,9.803420771,,,,2895,34423,1183,,2895,1679973.004,34423,1183,,
34423,10492.13006,9.803420771,,,,2895,34423,1739,,2895,1679973.004,34423,1739,,
34717,10581.74126,9.803393198,,,,2917.8,34717,1708,,2917.8,1679744.761,34717,1708,,
35010,10671.04766,9.803365718,,,,2940.8,35010,1675,,2940.8,1679514.576,35010,1675,,
35304,10760.65886,9.803338145,,,,2964,35304,1629,,2964,1679282.414,35304,1629,,
35597,10849.96525,9.803310666,,,,2987.5,35597,1582,,2987.5,1679047.329,35597,1582,,
35891,10939.57645,9.803283093,,,,3011.3,35891,1535,,3011.3,1678809.289,35891,1535,,
36184,11028.88285,9.803255614,,,,3036.8,36184,1347,,3036.8,1678554.6,36184,1347,,
36478,11118.49404,9.803228041,,,,3064,36478,1304,,3064,1678283.231,36478,1304,,
36771,11207.80044,9.803200563,,,,3091.7,36771,1261,,3091.7,1678006.978,36771,1261,,
37065,11297.41164,9.80317299,,,,3120,37065,1217,,3120,1677724.829,37065,1217,,
37358,11386.71804,9.803145512,,,,3148.8,37358,1172,,3148.8,1677437.795,37358,1172,,
37652,11476.32923,9.80311794,,,,3178.4,37652,1127,,3178.4,1677142.905,37652,1127,,
37945,11565.63563,9.803090461,,,,3208.6,37945,1081,,3208.6,1676842.151,37945,1081,,
38239,11655.24683,9.803062889,,,,3239.7,38239,1034,,3239.7,1676532.559,38239,1034,,
38532,11744.55322,9.803035411,,,,3271.7,38532,986,,3271.7,1676214.163,38532,986,,
38826,11834.16442,9.80300784,,,,3304.8,38826,938,,3304.8,1675884.969,38826,938,,
39119,11923.47082,9.802980362,,,,3338.9,39119,893,,3338.9,1675545.99,39119,893,,
39413,12013.08202,9.80295279,,,,3374.2,39413,856,,3374.2,1675195.233,39413,856,,
39706,12102.38841,9.802925313,,,,3410.7,39706,817,,3410.7,1674832.731,39706,817,,
40000,12191.99961,9.802897741,,,,3448.5,40000,777,,3448.5,1674457.47,40000,777,,
40000,12191.99961,9.802897741,,,,14509.2,40000,948,,14509.2,1566030.559,40000,948,,
40158,12240.15801,9.802882924,,,,14526.4,40158,926,,14526.4,1565859.583,40158,926,,
40316,12288.31641,9.802868107,,,,14543.9,40316,905,,14543.9,1565685.666,40316,905,,
40474,12336.47481,9.80285329,,,,14561.7,40474,883,,14561.7,1565508.808,40474,883,,
40632,12384.6332,9.802838473,,,,14579.8,40632,861,,14579.8,1565329.011,40632,861,,
40789,12432.4868,9.80282375,,,,14598.2,40789,838,,14598.2,1565146.288,40789,838,,
40947,12480.6452,9.802808933,,,,14617.1,40947,815,,14617.1,1564958.649,40947,815,,
41105,12528.8036,9.802794116,,,,14636.3,41105,792,,14636.3,1564768.07,41105,792,,
41263,12576.962,9.802779299,,,,14656,41263,769,,14656,1564572.59,41263,769,,
41421,12625.1204,9.802764482,,,,14676.1,41421,745,,14676.1,1564373.19,41421,745,,
41579,12673.27879,9.802749665,,,,14696.7,41579,721,,14696.7,1564168.888,41579,721,,
41737,12721.43719,9.802734848,,,,14717.9,41737,696,,14717.9,1563958.706,41737,696,,
41895,12769.59559,9.802720032,,,,14739.7,41895,671,,14739.7,1563742.643,41895,671,,
42053,12817.75399,9.802705215,,,,14762.1,42053,646,,14762.1,1563520.699,42053,646,,
42211,12865.91239,9.802690398,,,,14785.3,42211,620,,14785.3,1563290.913,42211,620,,
42368,12913.76599,9.802675675,,,,14809.3,42368,593,,14809.3,1563053.301,42368,593,,
42526,12961.92439,9.802660859,,,,14834.2,42526,567,,14834.2,1562806.852,42526,567,,
42684,13010.08278,9.802646042,,,,14860.1,42684,540,,14860.1,1562550.601,42684,540,,
42842,13058.24118,9.802631225,,,,14887.1,42842,512,,14887.1,1562283.569,42842,512,,
43000,13106.39958,9.802616409,,,,14915.4,43000,484,,14915.4,1562003.793,43000,484,,
15082,4596.993453,9.805234958,3500,20000,180390,1306,15082,2946,,1306,1755960.697,15082,2946,,
16353,4984.39424,9.805115723,,,,1400.6,16353,2814,,1400.6,1755011.78,16353,2814,,
17624,5371.795028,9.804996489,,,,1496.6,17624,2691,,1496.6,1754049.159,17624,2691,,
18894,5758.891016,9.804877352,,,,1594.3,18894,2571,,1594.3,1753069.91,18894,2571,,
20165,6146.291803,9.804758123,,,,1693.8,20165,2449,,1693.8,1752073.019,20165,2449,,
21435,6533.387791,9.804638991,,,,1795.3,21435,2333,,1795.3,1751056.559,21435,2333,,
22706,6920.788579,9.804519766,,,,1899,22706,2218,,1899,1750018.538,22706,2218,,
23977,7308.189366,9.804400544,,,,2005.2,23977,2102,,2005.2,1748956.03,23977,2102,,
25247,7695.285354,9.804281418,,,,2114.2,25247,1986,,2114.2,1747866.113,25247,1986,,
26518,8082.686141,9.8041622,,,,2226.4,26518,1864,,2226.4,1746744.832,26518,1864,,
27788,8469.782129,9.804043078,,,,2342.3,27788,1743,,2342.3,1745587.321,27788,1743,,
29059,8857.182917,9.803923864,,,,2462.5,29059,1624,,2462.5,1744387.663,29059,1624,,
30330,9244.583704,9.803804653,,,,2587.6,30330,1501,,2587.6,1743139.996,30330,1501,,
31600,9631.679692,9.803685537,,,,2719,31600,1366,,2719,1741830.613,31600,1366,,
32871,10019.08048,9.80356633,,,,2857.8,32871,1244,,2857.8,1740448.698,32871,1244,,
34141,10406.17647,9.803447219,,,,3005.4,34141,1131,,3005.4,1738980.564,34141,1131,,
34141,10406.17647,9.803447219,,,,3005.4,34141,1662,,3005.4,1738980.564,34141,1662,,
34450,10500.35966,9.803418239,,,,3030.7,34450,1629,,3030.7,1738727.396,34450,1629,,
34758,10594.23806,9.803389352,,,,3056.2,34758,1596,,3056.2,1738472.287,34758,1596,,
35066,10688.11646,9.803360466,,,,3081.9,35066,1560,,3081.9,1738215.218,35066,1560,,
35375,10782.29965,9.803331486,,,,3108,35375,1512,,3108,1737954.213,35375,1512,,
35683,10876.17805,9.8033026,,,,3134.5,35683,1463,,3134.5,1737689.304,35683,1463,,
35991,10970.05645,9.803273714,,,,3161.5,35991,1414,,3161.5,1737419.496,35991,1414,,
36300,11064.23965,9.803244735,,,,3190.4,36300,1236,,3190.4,1737131.046,36300,1236,,
36608,11158.11804,9.803215849,,,,3221.4,36608,1192,,3221.4,1736822.028,36608,1192,,
36917,11252.30124,9.80318687,,,,3253,36917,1146,,3253,1736507.113,36917,1146,,
37225,11346.17964,9.803157985,,,,3285.4,37225,1100,,3285.4,1736184.374,37225,1100,,
37533,11440.05803,9.8031291,,,,3318.7,37533,1053,,3318.7,1735852.814,37533,1053,,
37842,11534.24123,9.803100121,,,,3353,37842,1005,,3353,1735511.436,37842,1005,,
38150,11628.11963,9.803071236,,,,3388.4,38150,956,,3388.4,1735159.294,38150,956,,
38458,11721.99802,9.803042351,,,,3425,38458,906,,3425,1734795.39,38458,906,,
38767,11816.18122,9.803013373,,,,3463,38767,855,,3463,1734417.747,38767,855,,
39075,11910.05962,9.802984488,,,,3502.7,39075,806,,3502.7,1734023.458,39075,806,,
39383,12003.93802,9.802955604,,,,3544,39383,765,,3544,1733613.487,39383,765,,
39692,12098.12121,9.802926626,,,,3587.1,39692,723,,3587.1,1733185.856,39692,723,,
40000,12191.99961,9.802897741,,,,3632.2,40000,679,,3632.2,1732738.638,40000,679,,
40000,12191.99961,9.802897741,,,,20612.1,40000,947,,20612.1,1566286.415,40000,947,,
40158,12240.15801,9.802882924,,,,20629.3,40158,926,,20629.3,1566115.438,40158,926,,
40316,12288.31641,9.802868107,,,,20646.8,40316,904,,20646.8,1565941.521,40316,904,,
40474,12336.47481,9.80285329,,,,20664.6,40474,882,,20664.6,1565764.663,40474,882,,
40632,12384.6332,9.802838473,,,,20682.8,40632,860,,20682.8,1565583.885,40632,860,,
40789,12432.4868,9.80282375,,,,20701.2,40789,838,,20701.2,1565401.161,40789,838,,
40947,12480.6452,9.802808933,,,,20720.1,40947,815,,20720.1,1565213.522,40947,815,,
41105,12528.8036,9.802794116,,,,20739.3,41105,792,,20739.3,1565022.943,41105,792,,
41263,12576.962,9.802779299,,,,20759,41263,768,,20759,1564827.462,41263,768,,
41421,12625.1204,9.802764482,,,,20779.1,41421,744,,20779.1,1564628.061,41421,744,,
41579,12673.27879,9.802749665,,,,20799.7,41579,720,,20799.7,1564423.76,41579,720,,
41737,12721.43719,9.802734848,,,,20820.9,41737,696,,20820.9,1564213.577,41737,696,,
41895,12769.59559,9.802720032,,,,20842.7,41895,671,,20842.7,1563997.514,41895,671,,
42053,12817.75399,9.802705215,,,,20865.2,42053,645,,20865.2,1563774.589,42053,645,,
42211,12865.91239,9.802690398,,,,20888.4,42211,619,,20888.4,1563544.803,42211,619,,
42368,12913.76599,9.802675675,,,,20912.4,42368,593,,20912.4,1563307.19,42368,593,,
42526,12961.92439,9.802660859,,,,20937.3,42526,566,,20937.3,1563060.741,42526,566,,
42684,13010.08278,9.802646042,,,,20963.2,42684,539,,20963.2,1562804.49,42684,539,,
42842,13058.24118,9.802631225,,,,20990.3,42842,511,,20990.3,1562536.477,42842,511,,
43000,13106.39958,9.802616409,,,,21018.6,43000,483,,21018.6,1562256.701,43000,483,,
35,10.66799966,9.806646716,3500,25000,186546,0,35,2966,,0,1829390.718,35,2966,,
198,60.35039807,9.806631421,,,,16.5,198,2958,,16.5,1829226.056,198,2958,,
361,110.0327965,9.806616126,,,,33,361,2950,,33,1829061.394,361,2950,,
523,159.4103949,9.806600925,,,,49.5,523,2941,,49.5,1828896.749,523,2941,,
686,209.0927933,9.806585631,,,,66,686,2933,,66,1828732.088,686,2933,,
849,258.7751917,9.806570336,,,,82.4,849,2925,,82.4,1828568.408,849,2925,,
1012,308.4575901,9.806555041,,,,98.9,1012,2917,,98.9,1828403.748,1012,2917,,
1174,357.8351885,9.806539841,,,,115.3,1174,2908,,115.3,1828240.087,1174,2908,,
1337,407.517587,9.806524546,,,,131.8,1337,2900,,131.8,1828075.428,1337,2900,,
1500,457.1999854,9.806509251,,,,148.2,1500,2892,,148.2,1827911.75,1500,2892,,
13777,4199.229466,9.805357385,,,,1260.6,13777,2953,,1260.6,1816789.565,13777,2953,,
15037,4583.277453,9.80523918,,,,1356.9,15037,2826,,1356.9,1815823.419,15037,2826,,
